R,G,B
123,55,148
123,56,148
124,56,148
124,57,148
124,57,148
124,58,149
125,58,149
125,59,149
125,59,149
125,60,149
126,60,149
126,61,149
126,61,149
127,62,150
127,62,150
127,63,150
127,63,150
128,64,150
128,64,150
128,65,150
128,65,150
129,66,150
129,66,151
129,67,151
130,67,151
130,68,151
130,68,151
130,69,151
131,69,151
131,70,151
131,70,152
132,71,152
132,71,152
132,72,152
132,72,152
133,73,152
133,73,152
133,74,152
133,74,152
134,75,153
134,75,153
134,76,153
135,76,153
135,77,153
135,77,153
135,78,153
136,78,153
136,79,154
136,79,154
136,80,154
137,80,154
137,81,154
137,81,154
138,82,154
138,82,154
138,83,154
138,83,155
139,84,155
139,84,155
139,85,155
139,85,155
140,86,155
140,86,155
140,87,155
141,88,155
141,88,155
141,89,156
142,89,156
142,90,157
143,90,157
143,91,158
144,91,158
145,92,159
145,92,159
146,93,160
146,93,160
147,94,161
147,94,161
148,95,162
149,95,162
149,96,163
150,96,163
150,97,164
151,97,164
151,98,165
152,98,165
153,99,166
153,99,166
154,100,167
154,100,167
155,101,168
155,101,168
156,102,169
157,102,169
157,103,170
158,103,170
158,104,171
159,104,171
159,105,172
160,105,172
161,106,173
161,106,173
162,107,174
162,107,174
163,108,175
163,108,175
164,109,176
165,109,176
165,110,177
166,110,177
166,111,178
167,111,178
167,112,179
168,112,179
169,113,180
169,113,180
170,114,181
170,114,181
171,115,182
171,115,182
172,116,183
173,116,183
173,117,184
174,117,184
174,118,185
175,118,185
175,119,186
176,119,186
177,120,186
177,121,187
178,122,187
178,123,188
179,124,188
179,125,189
180,126,189
181,127,190
181,128,190
182,129,191
182,130,191
183,131,192
183,132,192
184,133,193
185,134,193
185,135,194
186,136,194
186,137,195
187,138,195
187,139,196
188,140,196
189,141,197
189,142,197
190,143,198
190,144,198
191,145,199
191,146,199
192,147,200
193,148,200
193,149,201
194,150,201
194,151,202
195,153,202
195,154,203
196,155,203
196,156,204
197,157,204
198,158,205
198,159,205
199,160,206
199,161,206
200,162,207
200,163,207
201,164,208
202,165,208
202,166,209
203,167,209
203,168,210
204,169,210
204,170,211
205,171,211
206,172,212
206,173,212
207,174,213
207,175,213
208,176,214
208,177,214
209,178,215
210,179,215
210,180,216
211,181,216
211,182,217
212,183,217
212,184,218
213,185,218
214,186,218
214,187,219
215,188,219
215,189,220
216,190,220
216,191,221
217,192,221
218,193,222
218,194,222
219,195,223
219,196,223
220,197,224
220,198,224
221,199,225
222,200,225
222,201,226
223,202,226
223,203,227
224,204,227
224,205,228
225,206,228
226,207,229
226,208,229
227,209,230
227,210,230
228,211,231
228,212,231
229,213,232
230,214,232
230,215,233
231,216,233
231,218,234
232,219,234
232,220,235
233,221,235
234,222,236
234,223,236
235,224,237
235,225,237
236,226,238
236,227,238
237,228,239
238,229,239
238,230,240
239,231,240
239,232,241
240,233,241
240,234,242
241,235,242
242,236,243
242,237,243
243,238,244
243,239,244
244,240,245
244,241,245
245,242,246
246,243,246
246,244,247
247,245,247
247,246,248
248,247,248
248,248,249
249,249,249
